id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_puting_beliung,satuan,tahun,jumlah_banjir,jumlah_gelombang_pasang,jumlah_gempa_bumi,jumlah_kebakaran,jumlah_kebakaran_bangunan,jumlah_kebakaran_lahan,jumlah_tanah_longsor
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2,KEJADIAN,2012,0,0,3,0.0,,,0
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27,KEJADIAN,2012,20,0,41,34.0,,,48
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,KEJADIAN,2012,1,0,0,4.0,,,9
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,KEJADIAN,2012,17,0,0,3.0,,,12
5,32,JAWA BARAT,3205,KABUPATEN GARUT,28,KEJADIAN,2012,7,1,0,59.0,,,36
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2012,0,0,0,0.0,,,2
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,KEJADIAN,2012,0,0,0,0.0,,,2
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2,KEJADIAN,2012,6,0,0,3.0,,,17
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2012,0,0,0,0.0,,,0
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,KEJADIAN,2012,0,0,0,0.0,,,0
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2,KEJADIAN,2012,0,0,0,0.0,,,0
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,KEJADIAN,2012,10,0,0,0.0,,,0
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,KEJADIAN,2012,4,0,0,1.0,,,0
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,KEJADIAN,2012,0,0,0,0.0,,,0
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2012,0,0,0,0.0,,,0
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2012,0,0,0,0.0,,,0
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,KEJADIAN,2012,2,0,0,5.0,,,7
18,32,JAWA BARAT,3271,KOTA BOGOR,1,KEJADIAN,2012,2,0,0,1.0,,,15
19,32,JAWA BARAT,3272,KOTA SUKABUMI,35,KEJADIAN,2012,10,0,0,20.0,,,27
20,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2012,6,0,0,0.0,,,4
21,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2012,0,0,0,0.0,,,0
22,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2012,0,0,0,0.0,,,0
23,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2012,0,0,0,0.0,,,0
24,32,JAWA BARAT,3277,KOTA CIMAHI,1,KEJADIAN,2012,0,0,0,0.0,,,0
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KEJADIAN,2012,0,0,0,0.0,,,0
26,32,JAWA BARAT,3279,KOTA BANJAR,14,KEJADIAN,2012,1,0,0,20.0,,,8
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,13,KEJADIAN,2013,19,0,0,3.0,,,48
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,KEJADIAN,2013,17,0,3,15.0,,,34
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9,KEJADIAN,2013,21,0,2,6.0,,,17
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,KEJADIAN,2013,46,0,1,2.0,,,11
31,32,JAWA BARAT,3205,KABUPATEN GARUT,15,KEJADIAN,2013,11,0,1,65.0,,,64
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27,KEJADIAN,2013,12,0,6,21.0,,,61
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17,KEJADIAN,2013,29,0,2,19.0,,,37
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,KEJADIAN,2013,15,0,2,28.0,,,119
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2013,7,0,0,0.0,,,2
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4,KEJADIAN,2013,4,0,0,3.0,,,12
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2013,1,0,0,6.0,,,7
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2013,5,0,0,0.0,,,0
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,KEJADIAN,2013,39,0,1,0.0,,,0
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2013,2,0,0,0.0,,,2
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,KEJADIAN,2013,71,0,0,0.0,,,1
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2013,34,0,0,0.0,,,1
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,KEJADIAN,2013,2,0,0,16.0,,,35
44,32,JAWA BARAT,3271,KOTA BOGOR,1,KEJADIAN,2013,1,0,0,1.0,,,3
45,32,JAWA BARAT,3272,KOTA SUKABUMI,3,KEJADIAN,2013,5,0,1,11.0,,,11
46,32,JAWA BARAT,3273,KOTA BANDUNG,1,KEJADIAN,2013,1,0,0,3.0,,,0
47,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2013,1,0,0,1.0,,,0
48,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2013,35,0,0,0.0,,,0
49,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2013,1,0,0,1.0,,,1
50,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2013,11,0,0,1.0,,,7
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,KEJADIAN,2013,0,0,0,0.0,,,3
52,32,JAWA BARAT,3279,KOTA BANJAR,5,KEJADIAN,2013,0,0,0,6.0,,,1
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,16,KEJADIAN,2014,8,0,0,4.0,,,19
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8,KEJADIAN,2014,5,0,1,4.0,,,25
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,KEJADIAN,2014,2,0,0,4.0,,,14
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,KEJADIAN,2014,17,0,1,31.0,,,15
57,32,JAWA BARAT,3205,KABUPATEN GARUT,13,KEJADIAN,2014,9,0,2,15.0,,,27
58,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,KEJADIAN,2014,6,0,3,13.0,,,32
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,28,KEJADIAN,2014,12,0,1,53.0,,,44
60,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9,KEJADIAN,2014,10,0,0,12.0,,,46
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,KEJADIAN,2014,15,0,0,2.0,,,2
62,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,KEJADIAN,2014,4,0,0,2.0,,,8
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2014,1,0,0,3.0,,,1
64,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2014,1,0,0,0.0,,,0
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,KEJADIAN,2014,1,0,0,0.0,,,2
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,KEJADIAN,2014,0,0,1,0.0,,,1
67,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,KEJADIAN,2014,1,0,0,0.0,,,1
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2014,3,0,0,0.0,,,0
69,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,KEJADIAN,2014,2,0,0,3.0,,,11
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2014,2,0,0,0.0,,,0
71,32,JAWA BARAT,3271,KOTA BOGOR,0,KEJADIAN,2014,1,0,0,0.0,,,3
72,32,JAWA BARAT,3272,KOTA SUKABUMI,1,KEJADIAN,2014,2,0,0,2.0,,,4
73,32,JAWA BARAT,3273,KOTA BANDUNG,3,KEJADIAN,2014,2,0,0,7.0,,,2
74,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2014,2,0,0,2.0,,,1
75,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2014,1,0,0,0.0,,,0
76,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2014,2,0,0,0.0,,,1
77,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2014,0,0,0,2.0,,,0
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,KEJADIAN,2014,4,0,0,4.0,,,0
79,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2014,1,0,0,0.0,,,5
80,32,JAWA BARAT,3201,KABUPATEN BOGOR,10,KEJADIAN,2015,5,0,0,40.0,,,16
81,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16,KEJADIAN,2015,6,0,4,46.0,,,42
82,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2,KEJADIAN,2015,3,0,3,3.0,,,9
83,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,KEJADIAN,2015,11,0,0,19.0,,,19
84,32,JAWA BARAT,3205,KABUPATEN GARUT,3,KEJADIAN,2015,5,0,3,6.0,,,15
85,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,KEJADIAN,2015,1,0,2,2.0,,,4
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8,KEJADIAN,2015,3,0,1,8.0,,,6
87,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,KEJADIAN,2015,3,0,0,9.0,,,21
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KEJADIAN,2015,1,0,0,1.0,,,1
89,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,KEJADIAN,2015,3,0,0,2.0,,,12
90,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2015,3,0,1,2.0,,,8
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2015,1,0,0,2.0,,,0
92,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2015,0,0,0,3.0,,,1
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2015,0,0,0,2.0,,,3
94,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2015,0,0,0,0.0,,,0
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,KEJADIAN,2015,3,0,0,0.0,,,0
96,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,KEJADIAN,2015,2,0,0,1.0,,,7
97,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,19,KEJADIAN,2015,1,0,3,30.0,,,6
98,32,JAWA BARAT,3271,KOTA BOGOR,3,KEJADIAN,2015,0,0,0,4.0,,,1
99,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2015,0,0,0,0.0,,,0
100,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2015,2,0,0,8.0,,,2
101,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2015,1,0,0,3.0,,,0
102,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2015,1,0,0,0.0,,,0
